sample_id,timestamp_utc,elapsed_ms,gps_valid,gps_updated,gps_fix_type,satellites,latitude_deg,longitude_deg,gps_altitude_m,speed_mps,course_deg,hdop,pdop,vdop,bme_valid,temperature_c,humidity_pct,pressure_hpa,pressure_altitude_m,mag_valid,mag_x_ut,mag_y_ut,mag_z_ut,mag_strength_ut,heading_deg,imu_valid,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,pitch_deg,roll_deg
0,2026-09-09T22:15:00.000Z,0,1,1,3,10,43.823100,-111.792400,1481.00,1.350,12.00,0.82,1.30,1.22,1,22.60,41.50,848.70,1461.00,1,-13.00,11.50,26.00,31.26,12.00,1,0.000,9.550,-1.200,0.000,0.220,0.000,-2.00,4.20
1,2026-09-09T22:15:01.000Z,1000,1,1,3,10,43.823108,-111.792394,1481.08,1.378,12.46,0.82,1.31,1.22,1,22.62,41.50,848.70,1461.08,1,-12.84,11.50,26.05,31.24,12.68,1,0.054,9.549,-1.183,0.037,0.219,0.033,-1.95,4.20
2,2026-09-09T22:15:02.000Z,2000,1,1,3,10,43.823116,-111.792388,1481.16,1.406,12.92,0.83,1.31,1.22,1,22.63,41.51,848.70,1461.15,1,-12.68,11.48,26.10,31.21,13.36,1,0.105,9.544,-1.166,0.074,0.216,0.064,-1.91,4.20
3,2026-09-09T22:15:03.000Z,3000,1,1,3,10,43.823124,-111.792382,1481.23,1.433,13.37,0.83,1.32,1.22,1,22.65,41.51,848.70,1461.23,1,-12.53,11.46,26.16,31.18,14.03,1,0.150,9.538,-1.150,0.110,0.210,0.093,-1.86,4.19
4,2026-09-09T22:15:04.000Z,4000,1,1,3,10,43.823132,-111.792377,1481.31,1.457,13.83,0.84,1.32,1.22,1,22.66,41.52,848.70,1461.30,1,-12.37,11.43,26.21,31.15,14.69,1,0.185,9.529,-1.135,0.144,0.203,0.120,-1.82,4.19
5,2026-09-09T22:15:05.000Z,5000,1,1,3,10,43.823140,-111.792371,1481.39,1.479,14.29,0.84,1.33,1.22,1,22.68,41.52,848.69,1461.38,1,-12.22,11.39,26.26,31.12,15.34,1,0.209,9.517,-1.121,0.176,0.193,0.142,-1.77,4.18
6,2026-09-09T22:15:06.000Z,6000,1,1,3,10,43.823148,-111.792365,1481.47,1.499,14.74,0.85,1.34,1.22,1,22.69,41.53,848.69,1461.46,1,-12.07,11.35,26.31,31.09,15.98,1,0.219,9.504,-1.109,0.204,0.182,0.160,-1.73,4.17
7,2026-09-09T22:15:07.000Z,7000,1,1,3,10,43.823156,-111.792359,1481.55,1.515,15.20,0.85,1.34,1.22,1,22.71,41.53,848.69,1461.53,1,-11.92,11.29,26.36,31.05,16.60,1,0.216,9.489,-1.099,0.230,0.168,0.172,-1.68,4.16
8,2026-09-09T22:15:08.000Z,8000,1,1,3,10,43.823164,-111.792353,1481.62,1.529,15.65,0.86,1.35,1.22,1,22.72,41.54,848.69,1461.61,1,-11.77,11.23,26.41,31.02,17.20,1,0.200,9.474,-1.091,0.252,0.153,0.179,-1.64,4.15
9,2026-09-09T22:15:09.000Z,9000,1,1,3,10,43.823172,-111.792347,1481.70,1.538,16.10,0.86,1.35,1.22,1,22.74,41.54,848.69,1461.68,1,-11.63,11.16,26.46,30.98,17.78,1,0.171,9.457,-1.085,0.271,0.137,0.180,-1.60,4.13
10,2026-09-09T22:15:10.000Z,10000,1,1,3,10,43.823180,-111.792342,1481.78,1.545,16.55,0.86,1.36,1.21,1,22.75,41.55,848.69,1461.76,1,-11.49,11.08,26.51,30.94,18.34,1,0.132,9.440,-1.081,0.285,0.119,0.175,-1.55,4.12
11,2026-09-09T22:15:11.000Z,11000,1,1,3,10,43.823188,-111.792336,1481.85,1.549,17.00,0.87,1.36,1.21,1,22.77,41.55,848.69,1461.83,1,-11.36,10.99,26.55,30.90,18.88,1,0.084,9.424,-1.080,0.294,0.100,0.164,-1.51,4.10
12,2026-09-09T22:15:12.000Z,12000,1,1,3,10,43.823196,-111.792330,1481.93,1.549,17.44,0.87,1.37,1.21,1,22.78,41.56,848.69,1461.91,1,-11.23,10.90,26.60,30.86,19.39,1,0.031,9.408,-1.081,0.299,0.080,0.147,-1.47,4.08
13,2026-09-09T22:15:13.000Z,13000,1,1,3,10,43.823204,-111.792324,1482.00,1.548,17.89,0.88,1.38,1.21,1,22.80,41.56,848.68,1461.98,1,-11.10,10.80,26.64,30.82,19.87,1,-0.024,9.394,-1.085,0.300,0.059,0.126,-1.43,4.06
14,2026-09-09T22:15:14.000Z,14000,1,1,3,10,43.823212,-111.792318,1482.08,1.545,18.33,0.88,1.38,1.21,1,22.81,41.57,848.68,1462.06,1,-10.98,10.70,26.69,30.78,20.33,1,-0.077,9.381,-1.091,0.295,0.037,0.101,-1.39,4.04
15,2026-09-09T22:15:15.000Z,15000,1,1,3,10,43.823220,-111.792313,1482.15,1.540,18.76,0.89,1.39,1.21,1,22.82,41.57,848.68,1462.13,1,-10.87,10.59,26.73,30.74,20.75,1,-0.126,9.370,-1.099,0.286,0.016,0.072,-1.36,4.02
16,2026-09-09T22:15:16.000Z,16000,1,1,3,10,43.823228,-111.792307,1482.23,1.535,19.20,0.89,1.39,1.21,1,22.84,41.57,848.68,1462.21,1,-10.76,10.47,26.77,30.69,21.16,1,-0.166,9.361,-1.109,0.273,-0.006,0.041,-1.32,3.99
17,2026-09-09T22:15:17.000Z,17000,1,1,3,11,43.823236,-111.792301,1482.30,1.529,19.63,0.89,1.40,1.21,1,22.85,41.58,848.68,1462.28,1,-10.66,10.35,26.81,30.65,21.53,1,-0.197,9.355,-1.122,0.255,-0.028,0.009,-1.28,3.97
18,2026-09-09T22:15:18.000Z,18000,1,1,3,11,43.823244,-111.792295,1482.38,1.524,20.06,0.90,1.40,1.20,1,22.87,41.58,848.68,1462.36,1,-10.56,10.22,26.85,30.61,21.88,1,-0.215,9.351,-1.135,0.233,-0.050,-0.024,-1.25,3.94
19,2026-09-09T22:15:19.000Z,19000,1,1,3,11,43.823252,-111.792290,1482.45,1.521,20.48,0.90,1.41,1.20,1,22.88,41.59,848.67,1462.43,1,-10.48,10.09,26.88,30.57,22.20,1,-0.220,9.350,-1.150,0.208,-0.071,-0.055,-1.22,3.91
20,2026-09-09T22:15:20.000Z,20000,1,1,3,11,43.823260,-111.792284,1482.52,1.519,20.90,0.91,1.41,1.20,1,22.90,41.59,848.67,1462.50,1,-10.39,9.96,26.92,30.52,22.49,1,-0.211,9.352,-1.166,0.180,-0.092,-0.085,-1.19,3.88
21,2026-09-09T22:15:21.000Z,21000,1,1,3,11,43.823268,-111.792278,1482.59,1.519,21.32,0.91,1.42,1.20,1,22.91,41.59,848.67,1462.57,1,-10.32,9.82,26.95,30.48,22.77,1,-0.189,9.356,-1.183,0.148,-0.111,-0.113,-1.16,3.85
22,2026-09-09T22:15:22.000Z,22000,1,1,3,11,43.823276,-111.792273,1482.66,1.521,21.73,0.91,1.43,1.20,1,22.92,41.60,848.67,1462.65,1,-10.25,9.68,26.98,30.44,23.02,1,-0.155,9.363,-1.200,0.114,-0.129,-0.136,-1.13,3.82
23,2026-09-09T22:15:23.000Z,23000,1,1,3,11,43.823284,-111.792267,1482.73,1.527,22.14,0.92,1.43,1.19,1,22.94,41.60,848.67,1462.72,1,-10.19,9.54,27.01,30.40,23.25,1,-0.112,9.373,-1.217,0.079,-0.147,-0.155,-1.10,3.78
24,2026-09-09T22:15:24.000Z,24000,1,1,3,11,43.823292,-111.792261,1482.80,1.535,22.55,0.92,1.44,1.19,1,22.95,41.60,848.66,1462.79,1,-10.14,9.40,27.04,30.37,23.46,1,-0.061,9.385,-1.234,0.042,-0.162,-0.169,-1.07,3.75
25,2026-09-09T22:15:25.000Z,25000,1,1,3,11,43.823299,-111.792256,1482.87,1.546,22.95,0.93,1.44,1.19,1,22.96,41.61,848.66,1462.86,1,-10.10,9.25,27.06,30.33,23.66,1,-0.007,9.398,-1.250,0.005,-0.176,-0.177,-1.05,3.71
26,2026-09-09T22:15:26.000Z,26000,1,1,3,11,43.823307,-111.792250,1482.94,1.560,23.34,0.93,1.45,1.19,1,22.98,41.61,848.66,1462.93,1,-10.06,9.10,27.09,30.29,23.84,1,0.047,9.413,-1.265,-0.032,-0.189,-0.180,-1.03,3.67
27,2026-09-09T22:15:27.000Z,27000,1,1,3,11,43.823315,-111.792245,1483.01,1.576,23.73,0.93,1.45,1.18,1,22.99,41.61,848.66,1463.01,1,-10.03,8.96,27.11,30.26,24.01,1,0.099,9.429,-1.279,-0.069,-0.199,-0.177,-1.01,3.64
28,2026-09-09T22:15:28.000Z,28000,1,1,3,11,43.823323,-111.792239,1483.08,1.594,24.12,0.94,1.45,1.18,1,23.00,41.62,848.66,1463.08,1,-10.01,8.81,27.13,30.23,24.18,1,0.145,9.445,-1.291,-0.105,-0.207,-0.167,-0.99,3.60
29,2026-09-09T22:15:29.000Z,29000,1,1,3,11,43.823331,-111.792233,1483.14,1.614,24.50,0.94,1.46,1.18,1,23.02,41.62,848.65,1463.15,1,-10.00,8.66,27.14,30.20,24.34,1,0.181,9.462,-1.301,-0.139,-0.214,-0.152,-0.97,3.56
30,2026-09-09T22:15:30.000Z,30000,1,1,3,11,43.823339,-111.792228,1483.21,1.635,24.87,0.94,1.46,1.18,1,23.03,41.62,848.65,1463.22,1,-10.00,8.52,27.16,30.17,24.49,1,0.206,9.478,-1.309,-0.171,-0.218,-0.133,-0.96,3.52
31,2026-09-09T22:15:31.000Z,31000,1,1,3,11,43.823346,-111.792222,1483.27,1.656,25.24,0.95,1.47,1.17,1,23.04,41.62,848.65,1463.28,1,-10.01,8.37,27.17,30.14,24.64,1,0.219,9.494,-1.315,-0.201,-0.220,-0.108,-0.94,3.47
32,2026-09-09T22:15:32.000Z,32000,1,1,3,11,43.823354,-111.792217,1483.33,1.678,25.60,0.95,1.47,1.17,1,23.05,41.63,848.64,1463.35,1,-10.02,8.23,27.18,30.12,24.80,1,0.218,9.508,-1.319,-0.227,-0.220,-0.081,-0.93,3.43
33,2026-09-09T22:15:33.000Z,33000,1,1,3,11,43.823362,-111.792211,1483.40,1.698,25.96,0.95,1.48,1.17,1,23.07,41.63,848.64,1463.42,1,-10.04,8.10,27.19,30.09,24.96,1,0.203,9.521,-1.320,-0.250,-0.217,-0.050,-0.92,3.39
34,2026-09-09T22:15:34.000Z,34000,1,1,3,11,43.823370,-111.792206,1483.46,1.718,26.31,0.96,1.48,1.16,1,23.08,41.63,848.64,1463.49,1,-10.07,7.96,27.19,30.07,25.12,1,0.176,9.532,-1.319,-0.268,-0.213,-0.018,-0.91,3.34
35,2026-09-09T22:15:35.000Z,35000,1,1,3,11,43.823377,-111.792201,1483.52,1.735,26.66,0.96,1.49,1.16,1,23.09,41.63,848.64,1463.56,1,-10.11,7.83,27.20,30.05,25.30,1,0.137,9.540,-1.315,-0.283,-0.206,0.014,-0.91,3.30
36,2026-09-09T22:15:36.000Z,36000,1,1,3,11,43.823385,-111.792195,1483.58,1.749,27.00,0.96,1.49,1.16,1,23.10,41.63,848.63,1463.62,1,-10.16,7.70,27.20,30.04,25.48,1,0.091,9.546,-1.309,-0.293,-0.197,0.047,-0.90,3.25
37,2026-09-09T22:15:37.000Z,37000,1,1,3,11,43.823393,-111.792190,1483.64,1.761,27.33,0.96,1.49,1.15,1,23.11,41.64,848.63,1463.69,1,-10.21,7.58,27.20,30.02,25.68,1,0.038,9.549,-1.301,-0.299,-0.187,0.077,-0.90,3.21
38,2026-09-09T22:15:38.000Z,38000,1,1,3,11,43.823400,-111.792185,1483.69,1.769,27.65,0.97,1.50,1.15,1,23.12,41.64,848.63,1463.76,1,-10.27,7.46,27.20,30.01,25.89,1,-0.017,9.550,-1.291,-0.300,-0.174,0.105,-0.90,3.16
39,2026-09-09T22:15:39.000Z,39000,1,1,3,11,43.823408,-111.792179,1483.75,1.774,27.97,0.97,1.50,1.15,1,23.13,41.64,848.62,1463.82,1,-10.34,7.35,27.19,30.00,26.11,1,-0.070,9.548,-1.278,-0.296,-0.160,0.130,-0.90,3.11
40,2026-09-09T22:15:40.000Z,40000,1,1,3,11,43.823416,-111.792174,1483.80,1.776,28.28,0.97,1.50,1.14,1,23.14,41.64,848.62,1463.89,1,-10.42,7.24,27.18,30.00,26.36,1,-0.120,9.543,-1.265,-0.288,-0.144,0.150,-0.91,3.07
41,2026-09-09T22:15:41.000Z,41000,1,1,3,11,43.823423,-111.792169,1483.86,1.773,28.59,0.97,1.51,1.14,1,23.15,41.64,848.62,1463.95,1,-10.50,7.14,27.17,29.99,26.61,1,-0.162,9.535,-1.250,-0.275,-0.126,0.166,-0.91,3.02
42,2026-09-09T22:15:42.000Z,42000,1,1,3,11,43.823431,-111.792163,1483.91,1.767,28.89,0.98,1.51,1.14,1,23.16,41.64,848.61,1464.02,1,-10.59,7.04,27.16,29.99,26.89,1,-0.194,9.525,-1.234,-0.258,-0.108,0.176,-0.92,2.97
43,2026-09-09T22:15:43.000Z,43000,1,1,3,11,43.823438,-111.792158,1483.96,1.759,29.18,0.98,1.51,1.13,1,23.17,41.64,848.61,1464.08,1,-10.69,6.95,27.15,29.99,27.18,1,-0.213,9.513,-1.217,-0.237,-0.088,0.180,-0.93,2.92
44,2026-09-09T22:15:44.000Z,44000,1,1,3,11,43.823446,-111.792153,1484.01,1.747,29.46,0.98,1.52,1.13,1,23.18,41.64,848.60,1464.14,1,-10.79,6.87,27.13,30.00,27.49,1,-0.220,9.500,-1.200,-0.212,-0.068,0.178,-0.94,2.87
45,2026-09-09T22:15:45.000Z,45000,1,1,3,11,43.823453,-111.792148,1484.06,1.733,29.73,0.98,1.52,1.12,1,23.19,41.64,848.60,1464.20,1,-10.90,6.80,27.11,30.00,27.82,1,-0.213,9.485,-1.183,-0.184,-0.046,0.170,-0.95,2.83
